Complaint_ID,Category,Location,Complaint,Priority,Status,Users_Affected,Date
C0350,Electricity,Library,Smart meter not recording,High,In Progress,141,05-01-2026
C0351,Transportation,Main Entrance,Route coverage issue,High,In Progress,169,20-03-2026
C0352,Water,Hostel A,Pipeline damage observed,Medium,Resolved,220,29-05-2026
C0353,Electricity,Computer Lab,Frequent power cuts,Medium,Open,154,11-06-2026
C0354,Transportation,Transport Office,Insufficient buses available,High,Open,28,27-05-2026
C0355,Water,Hostel B,Broken water purifier,Low,In Progress,127,08-02-2026
C0356,Electricity,Control Room,Street lights not working,Medium,Resolved,140,16-01-2026
C0357,Transportation,Route 3,Bus breakdown reported,Medium,Resolved,142,15-05-2026
C0358,Water,Cafeteria,Tank overflow,High,In Progress,156,29-03-2026
C0359,Electricity,Library,Emergency lights malfunctioning,High,Open,83,13-03-2026
C0360,Transportation,Hostel Stop,Bus breakdown reported,High,In Progress,217,15-03-2026
C0361,Water,Girls Hostel,Pipeline damage observed,Medium,In Progress,163,12-03-2026
C0362,Electricity,Exam Hall,Generator failure,Medium,Resolved,117,12-04-2026
C0363,Transportation,Main Entrance,Insufficient buses available,Medium,In Progress,202,21-01-2026
C0364,Water,Library,Pipeline damage observed,High,Resolved,142,24-02-2026
C0365,Electricity,Computer Lab,Emergency lights malfunctioning,High,Resolved,89,05-02-2026
C0366,Transportation,Route 2,Bus breakdown reported,Medium,Resolved,155,27-02-2026
C0367,Water,Girls Hostel,No water supply since morning,Low,In Progress,203,01-05-2026
C0368,Electricity,Block B,Power fluctuation affecting equipment,Low,Resolved,60,15-04-2026
C0369,Transportation,Route 5,Missed pickup schedule,High,In Progress,102,15-03-2026
C0370,Water,Hostel A,Water leakage detected,High,Open,156,10-01-2026
C0371,Electricity,Admin Block,Electrical sparks observed,High,Open,29,12-04-2026
C0372,Transportation,Route 5,Insufficient buses available,High,In Progress,244,10-01-2026
C0373,Water,Hostel A,Water contamination reported,Medium,Open,105,14-03-2026
C0374,Electricity,Hostel Corridor,Smart meter not recording,High,Open,237,10-05-2026
C0375,Transportation,Route 5,Driver shortage causing delays,Low,Open,104,11-02-2026
C0376,Water,Block D,Water contamination reported,High,Open,208,28-03-2026
C0377,Electricity,Exam Hall,Street lights not working,Low,Resolved,249,14-04-2026
C0378,Transportation,Transport Office,Route coverage issue,Low,Resolved,44,17-02-2026
C0379,Water,Hostel C,Pipeline damage observed,Medium,Open,21,08-03-2026
C0380,Electricity,Control Room,Street lights not working,Medium,In Progress,104,19-03-2026
C0381,Transportation,Route 1,Driver shortage causing delays,High,Resolved,80,16-01-2026
C0382,Water,Hostel B,Pipeline damage observed,Medium,In Progress,195,09-05-2026
C0383,Electricity,Exam Hall,Generator failure,High,In Progress,114,07-06-2026
C0384,Transportation,Main Gate,Bus breakdown reported,High,In Progress,59,27-04-2026
C0385,Water,Library,Water wastage due to broken tap,High,In Progress,213,18-05-2026
C0386,Electricity,Computer Lab,Street lights not working,High,Resolved,243,21-01-2026
C0387,Transportation,Route 5,Route coverage issue,Low,Resolved,48,16-01-2026
C0388,Water,Girls Hostel,Low water pressure,Low,Resolved,133,30-01-2026
C0389,Electricity,Computer Lab,Smart meter not recording,Low,Resolved,134,15-01-2026
C0390,Transportation,Route 5,Insufficient buses available,Medium,In Progress,164,15-01-2026
C0391,Water,Block D,Water contamination reported,High,In Progress,85,01-01-2026
C0392,Electricity,Computer Lab,Generator failure,Low,In Progress,199,17-01-2026
C0393,Transportation,Route 1,Bus overcrowded,High,In Progress,28,15-03-2026
C0394,Water,Cafeteria,Low water pressure,High,Resolved,206,15-06-2026
C0395,Electricity,Control Room,AC left running after hours,High,In Progress,134,07-04-2026
C0396,Transportation,Transport Office,Bus overcrowded,High,Resolved,243,19-05-2026
C0397,Water,Hostel C,Tank overflow,Low,Resolved,120,16-05-2026
C0398,Electricity,Admin Block,Street lights not working,High,Open,96,29-04-2026
C0399,Transportation,Transport Office,Traffic congestion at entrance,High,Open,137,30-03-2026
C0400,Water,Hostel C,Water contamination reported,Low,Resolved,215,29-01-2026
C0401,Electricity,Block A,Electrical sparks observed,High,Open,81,22-02-2026
C0402,Transportation,Route 2,Bus overcrowded,Medium,In Progress,173,22-06-2026
C0403,Water,Hostel A,Broken water purifier,High,In Progress,132,01-03-2026
C0404,Electricity,Computer Lab,Frequent power cuts,Low,In Progress,79,28-05-2026
C0405,Transportation,Main Entrance,Route coverage issue,Medium,Open,189,14-05-2026
C0406,Water,Girls Hostel,Water wastage due to broken tap,Medium,Open,162,01-06-2026
C0407,Electricity,Admin Block,Electrical sparks observed,Medium,Open,108,14-06-2026
C0408,Transportation,Transport Office,Route coverage issue,High,In Progress,58,18-03-2026
C0409,Water,Cafeteria,Low water pressure,High,In Progress,81,27-02-2026
C0410,Electricity,Exam Hall,Power fluctuation affecting equipment,High,Open,163,16-04-2026
C0411,Transportation,Transport Office,Insufficient buses available,Medium,In Progress,72,26-03-2026
C0412,Water,Hostel B,Pipeline damage observed,High,Open,157,18-02-2026
C0413,Electricity,Block A,Emergency lights malfunctioning,Medium,Resolved,174,11-01-2026
C0414,Transportation,Route 2,Bus breakdown reported,High,Resolved,205,21-06-2026
C0415,Water,Girls Hostel,Pipeline damage observed,Medium,In Progress,97,04-01-2026
C0416,Electricity,Computer Lab,Street lights not working,High,Open,211,03-05-2026
C0417,Transportation,Main Gate,Bus breakdown reported,Medium,Open,161,24-03-2026
C0418,Water,Mess Block,Water wastage due to broken tap,Medium,Resolved,111,20-03-2026
C0419,Electricity,Exam Hall,AC left running after hours,Medium,In Progress,139,26-01-2026
C0420,Transportation,Route 5,Route coverage issue,High,In Progress,100,16-04-2026
C0421,Water,Hostel A,Broken water purifier,High,Open,86,22-05-2026
C0422,Electricity,Control Room,Emergency lights malfunctioning,Low,In Progress,78,08-04-2026
C0423,Transportation,Main Gate,Missed pickup schedule,Medium,Resolved,106,07-03-2026
C0424,Water,Block D,Pipeline damage observed,Medium,Resolved,223,01-04-2026
C0425,Electricity,Admin Block,Power fluctuation affecting equipment,High,In Progress,67,19-05-2026
C0426,Transportation,Route 1,Bus delayed,High,Open,229,21-06-2026
C0427,Water,Hostel A,No water supply since morning,Medium,Resolved,79,18-01-2026
C0428,Electricity,Admin Block,Frequent power cuts,Medium,In Progress,115,16-01-2026
C0429,Transportation,Route 5,Missed pickup schedule,Low,Resolved,161,16-04-2026
C0430,Water,Hostel A,No water supply since morning,Medium,In Progress,157,15-03-2026
C0431,Electricity,Block A,Electrical sparks observed,High,Open,47,25-01-2026
C0432,Transportation,Route 3,Bus breakdown reported,Low,Resolved,84,01-04-2026
C0433,Water,Mess Block,Water wastage due to broken tap,Low,In Progress,137,25-05-2026
C0434,Electricity,Computer Lab,Street lights not working,Medium,Open,187,16-06-2026
C0435,Transportation,Route 1,Bus overcrowded,Medium,In Progress,161,02-05-2026
C0436,Water,Hostel A,No water supply since morning,High,Open,147,22-04-2026
C0437,Electricity,Library,Generator failure,High,Open,78,24-02-2026
C0438,Transportation,Route 5,Driver shortage causing delays,Low,Open,195,13-03-2026
C0439,Water,Hostel A,Low water pressure,High,In Progress,24,23-02-2026
C0440,Electricity,Admin Block,Electrical sparks observed,High,In Progress,61,25-05-2026
C0441,Transportation,Main Gate,Traffic congestion at entrance,High,Resolved,104,09-04-2026
C0442,Water,Hostel C,Water leakage detected,Medium,In Progress,33,26-01-2026
C0443,Electricity,Control Room,Street lights not working,High,In Progress,174,07-06-2026
C0444,Transportation,Transport Office,Route coverage issue,Low,In Progress,220,26-04-2026
C0445,Water,Block D,Broken water purifier,Medium,In Progress,130,17-02-2026
C0446,Electricity,Control Room,Generator failure,High,In Progress,224,05-03-2026
C0447,Transportation,Route 2,Bus overcrowded,Medium,In Progress,202,12-06-2026
C0448,Water,Hostel C,Water wastage due to broken tap,Medium,Open,43,02-01-2026
C0449,Electricity,Exam Hall,Smart meter not recording,Medium,In Progress,46,03-02-2026
C0450,Transportation,Route 2,Insufficient buses available,Medium,Resolved,162,12-05-2026
C0451,Water,Cafeteria,Water leakage detected,Low,In Progress,161,24-01-2026
C0452,Electricity,Library,Electrical sparks observed,Low,In Progress,119,22-01-2026
C0453,Transportation,Main Gate,Insufficient buses available,High,Open,55,10-03-2026
C0454,Water,Mess Block,Water contamination reported,Medium,Open,62,22-04-2026
C0455,Electricity,Exam Hall,Electrical sparks observed,Medium,Open,112,06-03-2026
C0456,Transportation,Main Gate,Missed pickup schedule,Medium,Open,137,28-01-2026
C0457,Water,Hostel C,Water contamination reported,Low,In Progress,105,08-06-2026
C0458,Electricity,Control Room,AC left running after hours,Medium,In Progress,228,16-06-2026
C0459,Transportation,Route 3,Driver shortage causing delays,Medium,Resolved,71,03-05-2026
C0460,Water,Library,Low water pressure,High,In Progress,94,27-06-2026
C0461,Electricity,Hostel Corridor,Street lights not working,Medium,In Progress,229,11-04-2026
C0462,Transportation,Main Entrance,Bus overcrowded,High,Open,171,20-05-2026
C0463,Water,Hostel C,No water supply since morning,High,In Progress,201,23-02-2026
C0464,Electricity,Hostel Corridor,Emergency lights malfunctioning,High,Open,229,15-04-2026
C0465,Transportation,Route 5,Insufficient buses available,High,Open,84,18-06-2026
C0466,Water,Hostel C,Water wastage due to broken tap,High,Open,134,03-06-2026
C0467,Electricity,Hostel Corridor,Electrical sparks observed,Medium,Resolved,127,20-05-2026
C0468,Transportation,Route 1,Route coverage issue,High,Resolved,172,13-06-2026
C0469,Water,Hostel B,Water leakage detected,High,Resolved,190,01-04-2026
C0470,Electricity,Admin Block,Frequent power cuts,Medium,Resolved,193,15-06-2026
C0471,Transportation,Transport Office,Route coverage issue,High,In Progress,47,03-01-2026
C0472,Water,Hostel B,Water contamination reported,Medium,Resolved,152,23-05-2026
C0473,Electricity,Computer Lab,Smart meter not recording,Medium,In Progress,217,23-06-2026
C0474,Transportation,Route 3,Route coverage issue,High,In Progress,46,17-03-2026
C0475,Water,Cafeteria,Water leakage detected,Low,Resolved,56,31-03-2026
C0476,Electricity,Exam Hall,AC left running after hours,Medium,Open,153,04-05-2026
C0477,Transportation,Main Entrance,Missed pickup schedule,Low,Resolved,198,26-04-2026
C0478,Water,Library,Water leakage detected,Medium,Resolved,49,06-01-2026
C0479,Electricity,Library,Generator failure,High,Open,209,04-03-2026
C0480,Transportation,Route 3,Insufficient buses available,Medium,In Progress,138,01-03-2026
C0481,Water,Cafeteria,Low water pressure,Low,Resolved,130,12-04-2026
C0482,Electricity,Block A,Street lights not working,Medium,In Progress,119,02-01-2026
C0483,Transportation,Main Gate,Bus breakdown reported,Medium,Resolved,227,17-01-2026
C0484,Water,Hostel B,Low water pressure,Medium,Open,137,30-01-2026
C0485,Electricity,Exam Hall,Smart meter not recording,Medium,Resolved,100,02-06-2026
C0486,Transportation,Transport Office,Traffic congestion at entrance,Medium,In Progress,110,28-04-2026
C0487,Water,Hostel C,Water contamination reported,High,Resolved,41,22-06-2026
C0488,Electricity,Admin Block,AC left running after hours,Low,In Progress,49,16-02-2026
C0489,Transportation,Main Entrance,Insufficient buses available,Medium,In Progress,172,05-02-2026
C0490,Water,Cafeteria,Water wastage due to broken tap,Low,Resolved,157,27-06-2026
C0491,Electricity,Admin Block,Power fluctuation affecting equipment,Medium,Open,67,22-03-2026
C0492,Transportation,Route 5,Bus delayed,High,Open,144,04-02-2026
C0493,Water,Girls Hostel,Water wastage due to broken tap,High,Resolved,187,07-05-2026
C0494,Electricity,Control Room,Smart meter not recording,Medium,In Progress,145,12-02-2026
C0495,Transportation,Route 2,Bus delayed,High,Open,94,09-01-2026
C0496,Water,Mess Block,Broken water purifier,Medium,Open,219,28-04-2026
C0497,Electricity,Hostel Corridor,Generator failure,Medium,In Progress,218,20-05-2026
C0498,Transportation,Main Entrance,Bus delayed,High,In Progress,159,25-02-2026
C0499,Water,Cafeteria,Water leakage detected,High,Resolved,212,05-03-2026
C0500,Electricity,Exam Hall,Frequent power cuts,Medium,In Progress,240,23-01-2026
C0501,Electricity,Hostel D,tubelight is not working in room D014,Low,Open,1,16-06-2026
C0502,Transportation,By pass road,There is no bus now and we have a class after 10 minutes and we are standing here for 1 hr now ,Low,Open,1,16-06-2026
C0503,Water,Block B,There is no water supply for 2 hrs now,Medium,Open,4,17-06-2026
C0504,Water,Hostel A,fan is not working in room T13,Low,Open,3,17-06-2026
C0505,Water,Block B,flush is not working properly in room B12,Low,Open,2,17-06-2026
C0506,Water,Hostel D,This fan is not working well in room no D14,Low,Open,2,17-06-2026
C0507,Electricity,Room no D0014,bulb is not working in bathroom ,Low,Open,1,17-06-2026
C0508,Transportation,By pass road,bus is overcrowded and it is not stopping near our hostel ,Medium,Open,40,17-06-2026
